Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
47.7458593,26.6658232,Str. 1 Decembrie,42,Botosani,Botosani,1938,S+P+1E,6,323.19,1996,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,27,Botosani,Botosani,1980,S+P+1E,"","",1996,Nour Smaranda Doina,,,RS1
47.745665,26.668601,Str. 1 Decembrie,45,Botosani,Botosani,1927,S+P+1E,4,270.58,2006,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,55,Botosani,Botosani,1932,S+P+1E,1,89.66,1996,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,57-59,Botosani,Botosani,1921,S+P+1E,1,150.73,1996,Nour Smaranda Doina,,,RS1
47.7447645,26.6691538,Piața 1 Decembrie,9,Botosani,Botosani,1937,S+P+1E,5,218.16,1996,Nour Smaranda Doina,,,RS2
47.7447645,26.6691538,Piața 1 Decembrie,14,Botosani,Botosani,1940,S+P+1E,6,833.3,1996,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,46,Botosani,Botosani,1938,S+P+1E,3,225.28,2006,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,48,Botosani,Botosani,1943,S+P+1E,4,175.57,2006,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,50,Botosani,Botosani,1937,S+P+1E,7,403.22,2007,Nour Smaranda Doina,,,RS1
47.745595,26.6689079,Str. Savenilor,2,Botosani,Botosani,1940,S+P+1E,"",60.76,2004,Nour Smaranda Doina,,,RS1
47.7447645,26.6691538,Piața 1 Decembrie,15,Botosani,Botosani,1932,S+P+1E,"","",1998,Nour Smaranda Doina,,,RS2
47.7447645,26.6691538,Piața 1 Decembrie,16,Botosani,Botosani,1932,S+P+1E,3,108.73,1998,Nour Smaranda Doina,,,RS2
47.7447645,26.6691538,Piața 1 Decembrie,16,Botosani,Botosani,1932,S+P+1E,5,127.47,1998,Nour Smaranda Doina,,,RS2
47.745693,26.66899,Str. Savenilor,4,Botosani,Botosani,1930,S+P+1E,1,85.87,2000,Nour Smaranda Doina,,,RS1
47.745792,26.669072,Str. Savenilor,6,Botosani,Botosani,1934,S+P,1,33.26,2005,Nour Smaranda Doina,,,RS1
47.74589,26.669154,Str. Savenilor,8,Botosani,Botosani,1932,S+P,1,29.93,1998,Nour Smaranda Doina,,,RS1
47.7459879,26.669236,Str. Savenilor,10,Botosani,Botosani,1932,S+P+1E,1,82.45,1998,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,51,Botosani,Botosani,1938,S+P+1E,"",2037.30,1998,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,53,Botosani,Botosani,1938,S+P+1E,5,251.35,2006,Nour Smaranda Doina,,,RS1
47.746099,26.669351,Str. Savenilor,12,Botosani,Botosani,1930,S+P+1E,6,217,2000,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,21,Botosani,Botosani,1880,S+P+1E,4,221,2003,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,29,Botosani,Botosani,1900,S+P+1E,2,218,2000,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,37,Botosani,Botosani,1875,S+P+1E,4,394,2000,Nour Smaranda Doina,,,RS1
47.745665,26.668601,Str. 1 Decembrie,45,Botosani,Botosani,1930,S+P+1E,4,431.9,2004,Nour Smaranda Doina,,,RS1
47.7461849,26.669456,Str. Savenilor,14,Botosani,Botosani,1900,S+P+1E,9,749,2006,Nour Smaranda Doina,,,RS1
47.746529,26.669878,Str. Savenilor,22,Botosani,Botosani,1900,S+P,6,148.28,2000,Nour Smaranda Doina,,,RS2
47.7448154,26.6692426,Piața 1 Decembrie,7,Botosani,Botosani,1915,S+P+1E,2,79.41,2000,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,32,Botosani,Botosani,1920,S+P+1E,3,352,2000,Nour Smaranda Doina,,,RS1
47.7438503,26.6720512,Str. Ion Pillat,12,Botosani,Botosani,1893,SP+P,3,95.11,2007,Nour Smaranda Doina,,,RS2
47.7444442,26.668505,Str. Victoriei,3,Botosani,Botosani,1921,S+P+1E,6,328,2006,Nour Smaranda Doina,,,RS1
47.7448989,26.671115,Str. 1 Decembrie,81,Botosani,Botosani,1901,S+P+1E,3,276,2000,Nour Smaranda Doina,,,RS2
47.7447645,26.6691538,Piața 1 Decembrie,13,Botosani,Botosani,1921,S+P+1E,3,293,2005,Nour Smaranda Doina,,,RS1
47.746372,26.669511,Str. Savenilor,7,Botosani,Botosani,1934,S+P+1E,2,301,2000,Nour Smaranda Doina,,,RS1
47.7487203,26.6719884,Str. Savenilor,15,Botosani,Botosani,1928,S+P,3,63,2000,Nour Smaranda Doina,,,RS2
47.7450392,26.6696249,Piața 1 Decembrie,1,Botosani,Botosani,1914,S+P+1E,3,105,2000,Nour Smaranda Doina,,,RS2
47.7449073,26.6695729,Piața 1 Decembrie,2,Botosani,Botosani,1922,S+P+1E,4,176.84,2000,Nour Smaranda Doina,,,RS2
47.744991,26.6695487,Piața 1 Decembrie,3,Botosani,Botosani,1922,S+P+1E,4,338,2000,Nour Smaranda Doina,,,RS1
47.7449172,26.6694201,Piața 1 Decembrie,5,Botosani,Botosani,1921,S+P+1E,8,252,2000,Nour Smaranda Doina,,,RS1
47.7387181,26.6849165,Str. IC Bratianu,94,Botosani,Botosani,1921,P,2,120.6,2000,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,36,Botosani,Botosani,1920,S+P+1E,2,229,2000,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,38,Botosani,Botosani,1920,S+P+1E,2,113,2000,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,44,Botosani,Botosani,1920,S+P+1E,3,87.96,2000,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,56,Botosani,Botosani,1935,S+P+1E,3,160.81,2007,Nour Smaranda Doina,,,RS1
47.7458593,26.6658232,Str. 1 Decembrie,61,Botosani,Botosani,1921,S+P+1E,1,103.32,2000,Nour Smaranda Doina,,,RS2
47.7458593,26.6658232,Str. 1 Decembrie,79,Botosani,Botosani,1927,S+P+1E,1,177.5,2000,Nour Smaranda Doina,,,RS2
47.7407163,26.6729616,Str. Puskin,4,Botosani,Botosani,1896,P,2,27,2003,Nour Smaranda Doina,,,RS2
47.7441769,26.673794,Dragos Voda,9,Botosani,Botosani,1940,P+1E,3,185,2003,Nour Smaranda Doina,,,RS1
47.751309,26.665492,Str. A. Mureșan,6,Botosani,Botosani,1910,P,1,"",2004,Nour Smaranda Doina,,,RS2
47.746867,26.6630005,Str. 1 Decembrie,3-4-2005,Botosani,Botosani,1896,S+P,"","",2004,Nour Smaranda Doina,,,RS2
47.7493813,26.6745587,Crinilor,21,Botosani,Botosani,1911,P,1,26.1,2006,Nour Smaranda Doina,,,RS2
47.7461343,26.6650207,Str. 1 Decembrie,13,Botosani,Botosani,1910,S+P+1E,"",347,2005,Nour Smaranda Doina,,,RS1
47.75301976,26.67302361,P. Tineretului,14 bl.140,Botosani,Botosani,1972,P+4,76,2300.50,2007,Nord Proiect,,,RS1
47.9530151,26.3992872,Str. Dimitrie Pompeiu,67,Dorohoi,Botosani,1929,P+1E,1,113.95,2000,Nour Smaranda Doina,,,RS1
47.9531654,26.3992953,Str. Dimitrie Pompeiu,71,Dorohoi,Botosani,1900,P+1E,1,74.1,2000,Nour Smaranda Doina,,,RS1
47.9532405,26.3992994,Str. Dimitrie Pompeiu,73,Dorohoi,Botosani,1934,P+1E,1,77.49,2000,Nour Smaranda Doina,,,RS1
47.95325288,26.39932457,Str. Dimitrie Pompeiu,75,Dorohoi,Botosani,1915,P+1E,1,80.16,2000,Nour Smaranda Doina,,,RS1
47.95330156,26.39933387,Str. Dimitrie Pompeiu,77,Dorohoi,Botosani,1919,P+1E,2,189.2,2000,Nour Smaranda Doina,,,RS1
