Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
44.6901208,27.9414525,Plantelor,33,Hîrșova,Constanța,1968,S+P+4,60,4443.6,2007,Gramescu Ana Maria,x,,RS1
44.3326143,28.0362328,Panait Cerna,"17, bl. E2 Sc A+B",Cernavodă,Constanța,1984,P+4E,20,915,2006,Conf. dr. ing. Paul Ioan,x,,RS1
44.332541,28.036351,Panait Cerna,"15, bl. E4 Sc A+B",Cernavodă,Constanța,1984,P+4E,20,915,2006,Conf. dr. ing. Paul Ioan,X,,RS1
43.81064164,28.58245673,Oituz,20 (Scoala Nr. 5),Mangalia,Constanța,1900,P,0,,,,,,RS2
43.8125723,28.581808,Mihai Viteazu ,11,Mangalia,Constanța,1970,P+2,0,,2006,,,,RS2
43.8120483,28.58055066,Oituz,20 (Colegiul Economic),Mangalia,Constanța,1958,S+P+2,0,,,,,,RS2
43.8193697,28.5689345,Matei Basarab,"58 (SC. Gen. nr.1 , Corp B)",Mangalia,Constanța,1962,P,,,2004,,,,RS2
43.8092319,28.5799803,Delfinului,1,Mangalia,Constanța,1938,P+1+M,0,,2006,,,,RS2
43.8190144,28.5723851,Matei Basarab,"52 (SC. Gen. nr.1 , Corp C)",Mangalia,Constanța,1957,P,,,,Ing. Ionescu Dumitrel,,,RS2
44.2454688,28.258691,Podgorilor,15 Bl L,Medgidia,Constanța,1951,S+P+2,12,1224,1999,Ing. Ionescu Dumitrel,,,RS2
44.243965,28.2555157,Vinatorilor,Bl. 13,Medgidia,Constanța,1952,S+P+2,68,3324,2000,Ing. Ionescu Dumitrel,,,RS2
44.26035578,28.26241458,Independentei,"73, Camin C1",Medgidia,Constanța,1976,P+3,200,3290,2004,Ing. Ionescu Dumitrel,,,RS3
44.26058945,28.26235276,Independentei,"73, Camin C2",Medgidia,Constanța,1976,P+3,200,3290,2004,Ing. Ionescu Dumitrel,,,RS3
44.26084525,28.26234589,Independentei,"73, Camin C3",Medgidia,Constanța,1975,P+4E,200,3793,2004,Ing. Ionescu Dumitrel,,,RS4
44.26105186,28.26231842,Independentei,"73, Camin C4",Medgidia,Constanța,1977,P+4E,200,3115,2004,Ing. Ionescu Dumitrel,,,RS4
44.1789664,28.6483322,Stefan cel Mare,26,Constanța,Constanța,1931,S+P+2E+M,7,292,1999,Ing. Ionescu Dumitrel,x,,RS1
44.1810562,28.6465992,Gen. Manu,32,Constanța,Constanța,1938,D+P+2E+M,6,702,2003,Ing. Ionescu Dumitrel,x,,RS1
44.176115,28.656826,Calatis,31,Constanța,Constanța,1922,D+P+1E,2,270,1999,Ing. Virgil Breaban,x,,RS1
44.176682,28.643745,Mercur,10,Constanța,Constanța,1900,P+2E,10,1096,2000,Ing. Ionescu Dumitrel,x,,RS1
44.175176,28.654876,Traian,25,Constanța,Constanța,1932,S+P+2E+M,12,921,1998,In. Anton Cotofana,x,,RS1
44.1725342,28.6602197,Arhiepiscopiei,13,Constanța,Constanța,1917,P,2,111,1995,Ing. Ionescu Dumitrel,,,N/A
44.1723635,28.6600191,Arhiepiscopiei,14,Constanța,Constanța,1896,D+P,5,766,1995,Ing. Ionescu Dumitrel,,,N/A
44.1770894,28.6566392,Aristide Karatzali,12,Constanța,Constanța,1905,P+E,8,1100,1995,Ing. Ionescu Dumitrel,,,N/A
44.1826137,28.6459354,C-tin Bratescu,14,Constanța,Constanța,1910,P+E,6,956,1995,Ing. Ionescu Dumitrel,,,N/A
44.1765441,28.6582601,Calatis,12,Constanța,Constanța,1930,S+P+1E,4,579,1990,IPJ C-ta,,,N/A
44.1739148,28.6569072,Vasile Canarache,4,Constanța,Constanța,1930,D+P+1E,4,1398,1990,IPJ C-ta,,,N/A
44.1776709,28.644706,Cpt. Petre Romulus,13,Constanța,Constanța,1924,P,1,72,1990,IPJ C-ta,,,N/A
44.1930295,28.6469852,Chiliei,26,Constanța,Constanța,1930,P,3,225,1995,Ing. Ionescu Dumitrel,,,N/A
44.1772869,28.6474061,Cuza-Voda,37,Constanța,Constanța,1930,D+P+1E,4,498,1995,IPJ C-ta,,,RS2
44.1779712,28.6485577,Cuza-Voda,31,Constanța,Constanța,1935,P+1E+M,5,267,2001,Ing. Virgil Breaban,,,RS3
44.1754037,28.657746,Dimitrie Cantemir,4,Constanța,Constanța,1896,P+2E,8,1692,1995,Ing. Ionescu Dumitrel,,,N/A
44.201851,28.6457214,Dragoslavelor,44,Constanța,Constanța,1902,P,3,26,2000,Ing. Ionescu Dumitrel,,Autodemolat,N/A
44.1745724,28.6430943,Ferdinand ,68,Constanța,Constanța,1925,S+P+E,,,1995,Ing. Ionescu Dumitrel,,,N/A
44.1808409,28.6465189,Gen. Manu,49,Constanța,Constanța,1916,D+P,2,115,1998,Ing. Virgil Breaban,,,RS4
