Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
44.2000475,27.3202275,Aleea Centralei,bloc D6,Călărași,Călărași,1970,P+4,40,745.9,2004,Kober Helmut,Nu,,RS2
44.2064678,27.3189437,str. Bărăganului,"nr. 3, bloc C23",Călărași,Călărași,1977,P+10,44,3179,1991,Dan Anastasiu,Nu,,U3
44.0908112,26.6423029,b-dul Mărășești,"nr. 20, bloc Z16",Oltenița,Călărași,1977,P+4,15,1125,2001,Hristoforov Alexandr,Nu,,RS3
44.0894165,26.6365094,str Al. Iliescu,"nr. 28, bloc M10",Oltenița,Călărași,1977,P+4,15,1125,2001,Hristoforov Alexandr,Nu,,RS3
