Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
45.68798406,27.18462398,Bd. Unirii,bl. B1,Focșani,Vrancea,1974,S+P+8E,61,2.148,1993,Pâslaru Corneliu,-,,RS3
45.68799237,27.18520026,Bd. Unirii,bl. B2,Focșani,Vrancea,1974,S+P+8E,64,2.148,1993,Pâslaru Corneliu,-,,RS3
45.6883015,27.18458783,Bd. Unirii,bl.A,Focșani,Vrancea,1975,S+P+8E,32,2.148,1993,Pâslaru Corneliu,-,,RS3
45.698017,27.1843879,Bd. Stefan cel Mare,nr. 3,Focșani,Vrancea,1978,S+P+4E,64,3.942,1994,Pâslaru Corneliu,-,,RS3
45.699572,27.185021,Bd. Republicii,bl.43-45,Focșani,Vrancea,1982,S+P+4E,24,4.411,1994,Tomulescu Costel,-,,RS3
45.68830152,27.18526147,Bd.Unirii,bl.B4,Focșani,Vrancea,1977,S+P+10E,86,7.421,1996,Mihalache Victor,-,,RS3
45.6934252,27.1850113,Bd. Unrii,bl. G1-G2,Focșani,Vrancea,1977,S+P+10E,160,15.065,1996,Mihalache Victor,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, bl.H2",Focșani,Vrancea,1967,P+4E,60,3.651,1996,Mihalache Victor,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, bl. I 1",Focșani,Vrancea,1967,P+4E,75,5.227,1996,Mihalache Victor,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, bl. H8",Focșani,Vrancea,1968,P+4E,60,3645,1997,Diamandopol Radu Niculae,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H9",Focșani,Vrancea,1968,P+4E,60,3645,1997,Diamandopol Radu Niculae,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H10",Focșani,Vrancea,1969,P+4E,80,4.375,1997,Dragomirescu Elena,-,,RS3
45.693089,27.184728,Bd. Unirii,bl. 39,Focșani,Vrancea,1981,S+P+8E,35,3.157,1997,Căpăţînă Dan,-,,RS3
45.68099565,27.18486653,Aleea 1 Iunie sud,bl.D,Focșani,Vrancea,1972,S+P+4E,120,6.12,1998,Olaru Dan Vasile,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H5",Focșani,Vrancea,1970,P+4E,100,6.4,1999,Olaru Dan Vasile,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H7",Focșani,Vrancea,1970,P+4E,60,3.84,1999,Olaru Dan Vasile,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H1",Focșani,Vrancea,1970,P+4E,60,3.84,1999,Olaru Dan Vasile,-,,RS3
45.7043867,27.1720989,Strada Bârsei,"nr. 8, H4",Focșani,Vrancea,1970,P+4E,80,5.12,1999,Olaru Dan Vasile,-,,RS3
45.69846798,27.1845405,Bd. Stefan cel Mare,bl.C1,Focșani,Vrancea,1975,S+P+8E,32,2.979,2000,Tomulescu Costel,-,,RS3
45.69838307,27.18427957,Bd. Stefan cel Mare,bl.C2,Focșani,Vrancea,1975,S+P+8E,32,2979,2000,Tomulescu Costel,-,,RS3
45.7012446,27.17106117,Strada Bârsei,Bl. LC,Focșani,Vrancea,1976,S+P+4E,32,2.92,2000,Aur Virgil,-,,RS3
45.6885512,27.18581905,Bd. Unirii,bl.C2,Focșani,Vrancea,1977,S+P+10E,40,3.634,2001,Aur Virgil,-,,RS3
45.6885049,27.18583016,Bd. Unirii,bl.D,Focșani,Vrancea,1977,S+P+8E,48,4.073,2001,Aur Virgil,-,,RS3
