lat,lng,county,locality,address,street_number,height_regime,observations,year_built,risk_category,residents_count
46.9476877,26.3879914,Neamț,Piatra-Neamț,Str. 1 Decembrie 1918,nr. 68,P+2E,Complex servicii Ion Creanga,,RS3,
46.9474838,26.3854811,Neamț,Piatra-Neamț,Str. 1 Decembrie 1918,nr. 68,P+2E,Complex servici de zi,,RS3,
46.9477739,26.3868026,Neamț,Piatra-Neamț,Str. 1 Decembrie 1918,nr. 68,P+2E,Complex servici Elena Doamna,,RS3,
46.9533604,26.3838813,Neamț,Piatra-Neamț,Str. 1 Decembrie 1918,nr. 118,"H max=10,20m",Biserica „Buna Vestire”,1790,RS2,150
46.9439845,26.3847741,Neamț,Piatra-Neamț,Str. 1 Decembrie 1918,nr. 7,S+P+1E,cinematograf,1979,RS3,850
46.9206296,26.38378787,Neamț,Piatra-Neamț,Aleea Paltinilor,bl. C1,P+4E,locuinţe,1967,RS3,42
46.92085,26.382858,Neamț,Piatra-Neamț,Aleea Paltinilor,bl. B5,P+4E,locuinţe,1969,RS3,61
46.9205509,26.3835944,Neamț,Piatra-Neamț,Aleea Paltinilor,bl. C4,P+4E,locuinţe,1969,RS3,
46.9205013,26.3831617,Neamț,Piatra-Neamț,Aleea Paltinilor,nr. 6,P+4E,locuinţe,1969,RS3,109
46.9402449,26.3880214,Neamț,Piatra-Neamț,Str. Ulmilor,bl. A2,P+9E,locuinţe,1970,RS3,264
46.93448,26.37874,Neamț,Piatra-Neamț,Aleea Viforului,bl. A3,P+4E,locuinţe,1969,RS3,63
46.93457,26.37931,Neamț,Piatra-Neamț,Aleea Viforului,bl. C1,P+4E,locuinţe,1969,RS3,109
46.93485,26.3788,Neamț,Piatra-Neamț,Aleea Viforului ,bl. A2,P+4E,locuinţe,1969,RS3,89
46.9327248,26.3669719,Neamț,Piatra-Neamț,Str. Alexandru cel Bun,nr. 27,S+P+4E,Clădire administrativă - Corp A,,RS2,
46.9342575,26.3640627,Neamț,Piatra-Neamț,Str. Alexandru cel Bun,nr. 11,P+1E,Sediul DGASPC Neamț,,RS3,
46.9263669,26.3644688,Neamț,Piatra-Neamț,Str. Anton Vorel,bl. B6,P+4E,locuinţe,1980,RS3,100
46.931951,26.367486,Neamț,Piatra-Neamț,B-dul Republicii,nr. 6,Dp+P+1E,Casa Judeteana de Pensii 2 corpuri de clădire sediu+anexa 684 mp,1930,RS1,
