Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
45.857576,25.775187,Str. Dealului,"nr 11, bl 25",Sf Gheorghe,Covasna,1976,P+10,69,5952,2007,SC Tectonplan SRL Nagy Bela nr 01954,da,,RS1
45.859654,25.7796764,str. Vasile Goldiș,12,Sf Gheorghe,Covasna,1972,P+10,44,2339,1996,dr. Szabo Balint aut 779/90,,,RS3
45.8626299,25.7791065,str Muzelor,1,Sf Gheorghe,Covasna,1977,P+11,216,19646,2007,SC Arhing SRL dr. Szekeres Gero nr 305,,,U1
