Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
44.1107615,24.344921,str.A.Caracalla,"Nr.2, bl A, SC.1",Caracal,Olt,1975,P+4E,20,1836,2006,Gavrilă Gheorghe,,,RS3
44.1094934,24.345478,str.lancu Jianu,"nr.40, bl.D",Caracal,Olt,1975,D+P+4E,22,2020,2006,Gavrilă Gheorghe,,,RS3
44.1119352,24.3583038,Aleea Rasaritului,"nr.1, bl.17",Caracal,Olt,1973,S+P+4E,10,954.24,2006,Gavrilă Gheorghe,,,RS3
44.1078514,24.3455538,Aleea Virgil Carianopol,bl. Ml,Caracal,Olt,1973,P+4E,40,3045,2006,Gavrilă Gheorghe,,,RS3
44.3440652,24.1252396,str.N. Balcescu,"nr.139, bl.HS",Bals,Olt,1967,P+4E,80,5422.09,1997,Hotinceanu Mihail,,,RS3
44.3440667,24.1252342,str. N. Balcescu,"nr.135, bl.Ll",Bals,Olt,1967,P+4E,60,4027.59,1997,Hotinceanu Mihail,,,RS3
44.4279028,24.36880234,b-dul Al Cuza,bl.CAM 1,Slatina,Olt,1977,S+P+M+10E,120,9998.64,2008,Râcă Gheorghe,,,RS3
44.4295489,24.3718964,str.Unirii,"nr.4, Bl.FA 16",Slatina,Olt,1976,S+P+4E,80,5496.3,2008,Râcă Gheorghe,,,RS3
