county,locality,lat,lng,address,,height_regime,year_built,risk_category,consolidation_status,examination_year,certified_expert,observations
Dolj,Craiova,44.312532,23.8534718,"Str. Calea Bucureşti, nr. 126","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 126",P+1E,1933,RS3,NO,2008,ing. Pârvu Marin,"sediu Spitalul Clinic de Boli Infecţioase şi Pneumoftiziologie ""Victor Babeş"" Craiova - Secţia TBC corp 3B"
Dolj,Craiova,44.31293106,23.84907341,"Str. Calea Bucureşti, nr. 99","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 99",S+P,1908,RS3,NO,2009,ing. Gavrilă Gheorghe,sediu Spitalul Clinic de Neuropsihiatrie - Pavilion psihiatrie 2
Dolj,Craiova,44.3180825,23.816594,"Str. Calea Bucureşti, nr. 99","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 99",P,1908,RS3,YES_PUBLIC,2007,ing. Stângă Gheorghe,sediu Spitalul Clinic de Neuropsihiatrie - Centru de Sănătate Mintală
Dolj,Craiova,44.3145371,23.8009521,"Str. C. D. Fortunescu, nr. 2","Jud. Dolj, Mun. Craiova, Str. C. D. Fortunescu, nr. 2",S+P+1E,1846,RS1,NO,2002,ing. Gavrilă Gheorghe,sediu ISU Dolj - pavilion administrat IV - Evacuat 2008
Dolj,Craiova,44.3160825,23.806321,"str. Împăratul Traian, nr. 39","Jud. Dolj, Mun. Craiova, str. Împăratul Traian, nr. 39",S parţial+P+1E,1890,RS2,DEMOLISHED,1999,ing. Hotinceanu Mihail,clădire Grup Şcolar Charles Laugier - închiriat către Şcoala Postliceală Christiana
Dolj,Craiova,44.315931,23.806608,"str. Împăratul Traian, nr. 39","Jud. Dolj, Mun. Craiova, str. Împăratul Traian, nr. 39",P+1E,1890,RS2,NO,1999,ing. Hotinceanu Mihail,clădire Grup Şcolar Charles Laugier - închiriat către RAADPFL Craiova - spaţiu depozitare
Dolj,Craiova,44.3155066,23.7973275,"str. Mihail Kogălniceanu, nr. 10","Jud. Dolj, Mun. Craiova, str. Mihail Kogălniceanu, nr. 10",Sp+P+1E,1900,RS3,NO,2014,ing. Gavrilă Gheorghe,sediu Administraţia Judeţeană a Finanţelor Publice Dolj din cadrul Direcţiei Generale Regionale a Finanţelor Publice Craiova
Dolj,Craiova,44.3042995,23.8185611,"str. Revoluţiei, nr. 15","Jud. Dolj, Mun. Craiova, str. Revoluţiei, nr. 15",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,"Grădiniţa ""Elena Farago"" Craiova (fostă nr. 41) + Cresa nr. 8 - reabilitare termica"
Dolj,Craiova,44.3086524,23.7985083,"Str. Petru Rareş, nr. 4","Jud. Dolj, Mun. Craiova, Str. Petru Rareş, nr. 4",S+P+2E+M,1928,RS3,NO,2000,ing. Pârvu Marin,Sediu clădire Medicina Veche
Dolj,Craiova,44.3046504,23.7945268,"B-dul 1 Mai, nr. 68","Jud. Dolj, Mun. Craiova, B-dul 1 Mai, nr. 68",Sp+P+1E,1978,RS3,NO,2011,ing. Greblescu Daniel,Cantina Facultăţii de Medicină şi Farmacie
