risk_category,consolidation_status,lat,lng,address,street_number,height_regime,locality,county,year_built,apartment_count,surface,,examination_year,certified_expert,observations
RS1,NO,44.422713,26.1007471,Strada IENACHIŢĂ VĂCĂRESCU,46 (corp A+B),S+P; S+P+1E,Sector 4,București,1892,,,,1993,Corneliu NICUT,
RS3,NO,44.4223927,26.1012279,Strada IENACHIŢĂ VĂCĂRESCU,47,S+P+1E+Ma,Sector 4,București,1935,,,,1993,Dan STANCIULESCU,
RS3,NO,44.4225331,26.1007823,Strada IENACHIŢĂ VĂCĂRESCU,48 (corp A+B+C),S+P; S+P+1E,Sector 4,București,1909,,,,1993,Alexandru BRANZEI,
RS3,NO,44.422366,26.100849,Strada IENACHIŢĂ VĂCĂRESCU,50 (corp A+B),S+P+1E+Ma,Sector 4,București,1935,,,,1993,Cristian BALAN,
RS2,NO,44.425065,26.1005839,Strada IENACHIŢĂ VĂCĂRESCU,8,S+P+1E,Sector 4,București,1840,,,,1993,Alexandru BRANZEI,
U3,NO,44.4452844,26.1010131,Strada IEREMIA GRIGORESCU (Teatrul de animație “ȚĂNDĂRICĂ”),24,S partial+P+5E,Sector 1,București,1945,,4,4,2012,Mihai VOICULESCU,
U1,NO,44.439799,26.131662,Strada ILARIE CHENDI,17 (corp A+B),S+P+1E; S+P+1E,Sector 2,București,1930,6,790,790,1993,Mircea CONDRUT,
RS1,NO,44.440546,26.132294,Strada ILARIE CHENDI,44,S+P+3E,Sector 2,București,1940,,,,1993,Niculaie TUDOSE,
RS2,NO,44.4328938,26.0951938,Strada ILFOV (colț cu Strada MIHAI VODĂ),2 (1),S+P+2E+Ma,Sector 5,București,1894,,,,1995,Mircea NEICU,
U3,NO,44.432181,26.096023,Strada ILFOV,1A,S+P+4E,Sector 5,București,1933,,571,571,1999,Rodica VASILESCU,
U2,NO,44.432181,26.096023,Strada ILFOV,1B,S+P+2E,Sector 5,București,1898,,571,571,1997,Zefir APOSTOL,
N/A,NO,44.46576,26.104923,Strada ILICI PIOTR CEAIKOVSKI,7,S+P+3E,Sector 2,București,1959,,,,1995,Marin TEODOR,
RS3,NO,44.436213,26.131018,Strada INIŞOR,19,S+P+1E,Sector 2,București,1936,,,,1993,Niculaie TUDOSE,
RS3,NO,44.429845,26.130081,Strada ÎNVINGĂTORILOR,22 (corp A+B),S+P+3E,Sector 3,București,1920,,,,1993,Marian ELEFTERESCU,
U1,NO,44.4214636,26.1011601,Strada IOAN BUDAI DELEANU,2,S+P+2E+Ma,Sector 4,București,1935,8,111,111,1993,Traian POPP,
RS2,NO,44.4213091,26.1006941,Strada IOAN BUDAI DELEANU,5,S+P+1E+Ma,Sector 4,București,1935,,,,1993,Traian POPP,
N/A,NO,44.4211871,26.102138,Strada IOAN BUDAI DELEANU,7,S+P+1E+Ma,Sector 4,București,1935,,,,1993,Cristian BALAN,
RS1,NO,44.430305,26.097831,Strada IOAN FILITTI,10,S+P+5E,Sector 3,București,1902,,,,1993,Voicu DORDEA,
RS1,NO,44.430592,26.097241,Strada IOAN FILITTI,5,S+P+3E,Sector 3,București,1890,,,,1993,Voicu DORDEA,
U1,NO,44.430334,26.097366,Strada IOAN FILITTI,6,P+5E+Ma,Sector 3,București,1930,12,169,169,1993,Gheorghe DRUGEA,
RS3,NO,44.43037,26.09757,Strada IOAN FILITTI,8,S+P+2E+Ma,Sector 3,București,1916,,,,1993,Voicu DORDEA,
RS3,NO,44.4486131,26.1011513,Strada IOAN VODA CARAGEA,2,S+P+3E,Sector 1,București,1920,,1245,1245,1994,Eugeniu IORDACHESCU,
RS3,NO,44.450463,26.10072,Strada IOAN VODA CARAGEA,27,S+P+3E,Sector 1,București,1938,,670,670,1993,Rodica ANGELESCU,
RS1,NO,44.4488229,26.1009465,Strada IOAN VODA CARAGEA,3,S+P+2E+Ma,Sector 1,București,1920,,867,867,1993,Armand NEFIAN,
RS2,NO,44.442119,26.125542,Strada ION ANDREESCU,1,S+P+Mz+5E+Ma,Sector 2,București,1942,30,217,217,1994,Niculaie TUDOSE,
RS2,NO,44.4416133,26.1257161,Strada ION ANDREESCU,10 (corp A+B+C+G+F),S+P+2E+Ma,Sector 2,București,1926,,,,1993,Constantin DALBAN,
RS3,NO,44.441386,26.126042,Strada ION ANDREESCU,11 (corp A+B),S+P+1E+Ma;S+P,Sector 2,București,1925,1,,,1993,Dan POPESCU,
RS3,NO,44.440945,26.126341,Strada ION ANDREESCU,17,S+P+3E+Ma,Sector 2,București,1944,8,496,496,1993,Niculaie TUDOSE,
U1,NO,44.440776,26.126315,Strada ION ANDREESCU,24,S+P+2E,Sector 2,București,1932,4,585,585,1993,Dan STANCIULESCU,
U1,NO,44.440667,26.12639,Strada ION ANDREESCU,26A,S+P+3E,Sector 2,București,1932,10,667,667,1993,Dan STANCIULESCU,
RS2,NO,44.440272,26.126803,Strada ION ANDREESCU,29 (corp A+B),S+P+2E; S+P,Sector 2,București,1925,5,802,802,1993,Dan POPESCU,
RS3,NO,44.4411747,26.1260994,Strada ION ANDREESCU,4 (corp A+B+C+D),S+P+1E+Ma; S+P; S+P+1E,Sector 2,București,1925,9,135,135,1993,Dan POPESCU,
U1,NO,44.441826,26.125741,Strada ION ANDREESCU,5,S+P+1E+Ma,Sector 2,București,1940,4,339,339,1993,Mircea CONDRUT,
RS3,NO,44.4512038,26.13389,Strada ION ANDREESCU,6 (corp A+B+C+D),S+P;S+P+1E; S+P+Ma,Sector 2,București,1920,6,788,788,1993,Dan POPESCU,
U2,NO,44.459932,26.130853,Strada ION BERINDEI,8 (bloc OD17),S+P+10E,Sector 2,București,1970,44,3146,3146,2000,Mihai NAVODARIU,
RS3,NO,44.433859,26.094747,Strada ION BREZOIANU,10,S+P+8E,Sector 5,București,1972,,,,1995,Dan CAPATINA,
U2,NO,44.434001,26.094617,Strada ION BREZOIANU,11,S+P+5E,Sector 5,București,1935,19,1302,1302,1997,Mihai URSACHESCU,
U3,NO,44.435233,26.094756,Strada ION BREZOIANU,18,S+P+Mz+7E,Sector 1,București,1934,27,3168,3168,2013,Ionel BELGUN,Încadrare în clasă de risc seismic în anul 2016
U2,NO,44.436404,26.094444,Strada ION BREZOIANU,29A,S+P+8E,Sector 1,București,1930,45,3672,3672,1994,Dragoş BADEA,
U3,NO,44.433562,26.094624,Strada ION BREZOIANU,3÷5,S+P+9E,Sector 5,București,1959,,299,299,1996,Dan CAPATINA,
U1,NO,,,Strada ION BREZOIANU,38,S+P+5E,Sector 1,București,1935,9,1542,1542,1995,Mihai URSACHESCU,
U1,NO,,,Strada ION BREZOIANU,38A,S+P+6E,Sector 1,București,1936,12,2599,2599,1993,Silvia CARAMAN,
C,YES_PUBLIC,44.4379924,26.093691,Strada ION BREZOIANU,44,P+9,Sector 1,București,1937,28,2532,2532,1997,Alexandrina PRETORIAN,PVRTL nr.4349/5081/2007
U1,NO,44.438047,26.093739,Strada ION BREZOIANU,46,Ds+P+5E,Sector 1,București,1948,31,3237,3237,2011,Mihai URSACHESCU,
RS2,NO,44.435975,26.094702,Strada ION BREZOIANU,51 (bloc B),S+P+8E; S+P+10E,Sector 1,București,1946,70,95,95,1996,Nicolae CONSTANTINESCU,
U2,NO,,,Strada ION BREZOIANU,53A,S+P+7E+Ma,Sector 1,București,1946,34,43,43,2002,Silvia CARAMAN,
U2,NO,,,Strada ION BREZOIANU,53B,S+P+9E,Sector 1,București,1946,34,288,288,2002,Silvia CARAMAN,
U1,NO,44.433463,26.09475,Strada ION BREZOIANU,6,S+P+8E,Sector 5,București,1936,29,1465,1465,1995,Alexandrina PRETORIAN,
RS3,NO,44.433661,26.094749,Strada ION BREZOIANU,8,S+P+1E,Sector 5,București,1880,,,,1993,Mircea NEICU,
RS3,NO,44.434214,26.09453,Strada ION BREZOIANU,9,S+P+6E,Sector 5,București,1932,,,,1995,Ramiro SOFRONIE,
RS3,NO,44.44928,26.105927,Strada ION CĂLIN,20,S+P+2E,Sector 2,București,1939,,,,1993,Dan STANCIULESCU,
RS3,NO,44.448129,26.104885,Strada ION CĂLIN,3,S+P+2E+Ma,Sector 2,București,1934,,,,1993,Corneliu NICUT,
RS3,NO,44.44978,26.106167,Strada ION CĂLIN,35,S+P+1E,Sector 2,București,1905,,,,1993,Adina SIMION,
U2,NO,44.4391174,26.0949898,Strada ION CÂMPINEANU,1 (corp A),S+P+7E,Sector 1,București,1957,47,5891,5891,2000,Mihai URSACHESCU,
U3,NO,44.4375886,26.1007147,Strada ION CÂMPINEANU,1 (corp B),S+P+7E,Sector 1,București,1957,21,5891,5891,2000,Mihai URSACHESCU,
U1,NO,44.437512,26.099327,Strada ION CÂMPINEANU,12,S+P+6E,Sector 1,București,1925,18,1909,1909,2007,Gabriel NICULESCU,
U2,NO,44.4371947,26.0984679,Strada ION CÂMPINEANU,13,S+P+Mz+7E,Sector 1,București,1921,16,1144,1144,1997,Grigore ARSENIE,
RS1,NO,44.437801,26.100828,Strada ION CÂMPINEANU,2,S+P+Mz+6E,Sector 1,București,1940,,5118,5118,1993,Emilian TITARU,
U2,NO,44.43738,26.095776,Strada ION CÂMPINEANU,20A (bloc 18A),S+P+Mz+7E,Sector 1,București,1961,,2791,2791,1998,Mihai URSACHESCU,
U1,NO,44.437381,26.095805,Strada ION CÂMPINEANU,22,S+P+8E,Sector 1,București,1938,59,1583,1583,1996,Constantin TARHON,
U2,NO,44.4374592,26.0952397,Strada ION CÂMPINEANU,25,S+P+Mz+15E,Sector 1,București,1960,89,794,794,2004,Mihai NAVODARIU,
U2,NO,44.438873,26.09365,Strada ION CÂMPINEANU,"31 (bloc 4, sc.1; bloc 5; bloc 6A)",S+P+9E,Sector 1,București,1960,30,3931,3931,2004,Silvia CARAMAN,
U2,NO,44.4392244,26.0936159,Strada ION CÂMPINEANU,"31 (bloc 4, sc.2+3+4)",S+P+9E,Sector 1,București,1959,90,5789,5789,2004,Adina SIMION,
U1,NO,44.437391,26.099177,Strada ION CÂMPINEANU,9,S+P+6E+Ma,Sector 1,București,1937,17,187,187,1995,Valentin GEORGESCU,CONSOLIDAT PARŢIAL !
C,YES_PUBLIC,44.4338222,26.1059178,Strada ION FLORESCU,13 (corp A+B),S+P+2E S+P+3E,Sector 3,București,1918,14,1744,1744,1993,,AC nr.7F/1994 PVRTL nr.6097/1996
RS1,NO,44.433629,26.106571,Strada ION FLORESCU,17 (corp A+B),S+P+2E; S+P+1E,Sector 3,București,1878,,,,1993,Dan POPESCU,
RS3,NO,44.433946,26.106184,Strada ION FLORESCU,19 (corp A+B+C),S+P+1E+Pod;,Sector 3,București,1878,,,,1993,Voicu DORDEA,
RS3,NO,44.433782,26.104953,Strada ION FLORESCU,2,S+P+4E,Sector 3,București,1938,,,,1993,Mircea MIRONESCU,
U1,NO,44.433758,26.10596,Strada ION FLORESCU,21 (corp A+B+C+D+E),S+P+2E+Ma S+P+2E+Ma,Sector 3,București,1928,14,2608,2608,1993,Armand NEFIAN,
RS2,NO,44.433723,26.105949,Strada ION FLORESCU,8,S+P+2E+Ma,Sector 3,București,1900,,,,1993,Niculaie TUDOSE,
U3,NO,44.434035,26.101541,Strada ION GHICA (BIBLIOTECA NAŢIONALĂ A ROMÂNIEI – Sediul central),4,S+P+4E+Pod,Sector 3,București,1912,,,,2004,Valentin SEVCENCO,Încadrare în clasă de risc seismic în anul 2004
U1,NO,44.434035,26.101541,Strada ION GHICA (Cinematograful „PRO”),3,P+8E,Sector 3,București,1938,53,5835,5835,1993,Mariana STOENESCU; Emilian TITARU,
RS1,NO,44.43426,26.10262,Strada ION GHICA,1,S+P+9E,Sector 3,București,1936,,,,1994,Alexandru PROGRESEANU,
RS2,NO,44.44128,26.105583,Strada ION LUCA CARAGIALE,19,S+P+2E,Sector 2,București,1910,,,,1993,Dan POPESCU,
RS3,NO,44.43929,26.107552,Strada ION LUCA CARAGIALE,1A,S+P+5E,Sector 2,București,1937,,,,1993,Mircea CONDRUT,
RS2,NO,44.440914,26.105617,Strada ION LUCA CARAGIALE,22,S+P+4E,Sector 2,București,1924,,,,1993,Maria DABIJA,
U1,NO,44.44195,26.10569,Strada ION LUCA CARAGIALE,28,S+P+4E,Sector 2,București,1933,11,1334,1334,1993,Adina SIMION,
RS2,NO,44.439437,26.107324,Strada ION LUCA CARAGIALE,3,S+P+4E,Sector 2,București,1933,,,,1993,Dan POPESCU,
RS2,NO,44.439942,26.106904,Strada ION LUCA CARAGIALE,8,S+P+1E+Pod; S+P+4E,Sector 2,București,1933,,,,1997,Maria DABIJA. Grigore ARSENIE,
RS3,NO,44.445614,26.122991,Strada ION MAIORESCU,20,S+P+4E,Sector 2,București,1935,,,,1993,Mircea NEICU,
RS2,NO,44.447098,26.124712,Strada ION MAIORESCU,59 (corp A+B+C),S+P+2E+Ma; S+P+1E+Ma,Sector 2,București,1927,,,,1993,Niculaie TUDOSE,
RS2,NO,44.447195,26.124838,Strada ION MAIORESCU,61 (corp A+B+C),S+P; S+P+1E S+P+2E+Ma,Sector 2,București,1920,,,,1993,Dan POPESCU,
RS1,NO,44.444774,26.121782,Strada ION MAIORESCU,7,S+P+3E+Ma,Sector 2,București,1939,,,,1993,Dan POPESCU,
RS3,NO,44.459363,26.083457,Strada ION MINCU,27,S+P+1E,Sector 1,București,1940,8,1115,1115,1993,Mircea NEICU,
RS1,NO,44.456978,26.073663,Strada ION NECULCE,39,S+P+1E,Sector 1,București,1912,,,,1993,Serban ALTENLIU,
C,YES_PUBLIC,44.45929,26.076123,Strada ION NECULCE,74 (corp A+B),P+2E+Ma,Sector 1,București,1940,,354,354,1993,Horia DUGAN,AC nr.12N/2001 AC nr.27N/2001 PVRTL nr.2108/2005
RS2,NO,44.45929,26.076123,Strada ION NECULCE,74 (corp C),S+P+2E,Sector 1,București,1923,,,,1993,Horia DUGAN,
RS2,NO,44.434761,26.101816,Strada ION NISTOR,2,S+P+Mz+6E,Sector 3,București,1945,,,,1993,Valter DORDEA,
U2,NO,44.434654,26.101841,Strada ION NISTOR,4,2S+P+10E,Sector 3,București,1949,,175,175,1994,Silvia CARAMAN,
RS3,NO,44.434472,26.101917,Strada ION NISTOR,6,2S+P+10E,Sector 3,București,1978,,,,1994,Alexandru PROGRESEANU,
RS2,NO,44.436042,26.09607,Strada ION OTETELEŞANU,5,S+P+6E+Ma,Sector 1,București,1942,,1689,1689,1994,Nicolae TEMELCU,
