risk_category,consolidation_status,lat,lng,address,street_number,height_regime,locality,county,year_built,apartment_count,surface,,examination_year,certified_expert,observations
RS2,NO,44.458903,26.086823,Aleea ALEXANDRU,46,S+P+1E+Ma,Sector 1,București,1940,7,331,331,1993,Mircea NEICU,
RS3,NO,44.44612303,26.12736879,Aleea AVRIG (colț cu Șoseaua MIHAI BRAVU),6 (bloc P4; 37),S+P+10E,Sector 2,București,1963,,4378,4378,1993,Dan POPESCU,
RS3,NO,44.445453,26.129076,Aleea AVRIG,10 (bloc P5),S+P+10E,Sector 2,București,1963,,,,1993,Dan POPESCU,
RS3,NO,44.444958,26.129523,Aleea AVRIG,14 (bloc P6),S+P+10E,Sector 2,București,1963,,,,1993,Dan POPESCU,
RS3,NO,44.4261707,26.1699257,Aleea BARAJUL DUNARII,3 (bloc M35),S+P+10E,Sector 3,București,1964,,27956,27956,1996,Dan POPESCU,
U3,NO,44.4269612,26.1675711,Aleea BARAJUL SADULUI,3÷5 (bloc N12-13),S+P+13E+1Etehnic,Sector 3,București,1975,166,15848,15848,2013,Gavril POP,Încadrare în clasă de risc seismic RsIII spre RsII în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a construcţiei)
U3,NO,44.456599,26.109511,Aleea CIRCULUI,15,S+P+1E,Sector 2,București,1960,,2265,2265,2006,Nicolae ALEMAN,
RS3,NO,44.420038,26.045356,Aleea COMPOZITORILOR,11 (bloc G12),S+P+10E,Sector 6,București,1972,,3157,3157,1995,Dan STANCIULESCU,
RS3,NO,44.419075,26.041788,Aleea COMPOZITORILOR,30 (bloc OD15),S+P+9E,Sector 6,București,1963,,1477,1477,1996,Cristian BALAN,
RS3,NO,44.419994,26.046239,Aleea COMPOZITORILOR,5 (bloc G9),S+P+10E,Sector 6,București,1972,,3157,3157,1995,Dan STANCIULESCU,
RS1,NO,44.4251498,26.0996698,Aleea DEALUL MITROPOLIEI,11,S+P+2E,Sector 4,București,1930,,14,14,1993,Alexandru BRANZEI,
RS2,NO,44.4247839,26.0985926,Aleea DEALUL MITROPOLIEI,17,S+P+1E+Ma,Sector 4,București,1923,,456,456,1993,Cristian BALAN,
RS2,NO,44.424856,26.0985338,Aleea DEALUL MITROPOLIEI,19,S+P+2E+Ma,Sector 4,București,1926,,880,880,1993,Corneliu NICUT,
RS1,NO,44.42539,26.100241,Aleea DEALUL MITROPOLIEI,5,S+P+3E,Sector 4,București,1927,,840,840,1993,Alexandru BRANZEI,
RS2,NO,44.4255256,26.1001316,Aleea DEALUL MITROPOLIEI,7,S+P+3E,Sector 4,București,1896,,1347,1347,1993,Dan CAPATINA,
N/A,NO,44.383752,26.116175,Aleea DRAGOS MLADINOVICI,2÷4 (bloc R11),S+P+9E,Sector 4,București,1965,164,121,121,1996,Armand NEFIAN,
N/A,NO,44.383614,26.118154,Aleea DRAGOS MLADINOVICI,5 (bloc R16),S+P+9E,Sector 4,București,1965,80,692,692,1996,Nicolae CONSTANTINESCU,
N/A,NO,44.383424,26.117789,Aleea DRAGOS MLADINOVICI,7 (bloc R17),S+P+9E,Sector 4,București,1965,80,65,65,1996,Armand NEFIAN,
RS2,NO,44.440254,26.132664,Aleea LUNGULEŢU,6,S+P+10E,Sector 2,București,1963,,3071,3071,1994,Dan ANASTASIU,
RS3,NO,44.4330217,26.1121073,Aleea MÂNTULEASA,2,S+P+1E,Sector 2,București,1936,,,,1993,Niculaie TUDOSE,
U1,NO,44.45815737,26.08796159,Aleea MODROGAN (MINISTERUL AFACERILOR EXTERNE),14 (tronson I),S+P+3E+Pod,Sector 1,București,1952,,324,324,2011,Traian POPP,
U2,NO,44.4574936,26.0894608,Aleea MODROGAN (MINISTERUL AFACERILOR EXTERNE),14 (tronson II+III),S+P+3E+Pod,Sector 1,București,1952,,648,648,2011,Traian POPP,Încadrare în clasă de risc seismic în anul 2011
U2,NO,44.457669,26.127534,Aleea OTEŞANI,1÷7 (bloc OD52+OD54),S+P+10E,Sector 2,București,1970,176,13694,13694,2000,Mihai NAVODARIU,
N/A,NO,44.442419,26.181891,Aleea PANTELIMON,7,P+4,Sector 3,București,1969,,,,1993,Mircea NEICU,
U2,NO,44.4243126,26.0304251,Aleea POIANA MUNTELUI,2 (bloc OD3),S+P+9E,Sector 6,București,1964,224,1755,1755,2000,Mihai NAVODARIU,
U2,NO,44.425095,26.040907,Aleea PRAVĂŢ,2 (bloc Z6),S+P+10E,Sector 6,București,1968,66,5198,5198,2010,Ion LUNGU,
RS3,NO,44.406281,26.070644,Aleea PRICOPAN,12 (bloc 20),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Mircea CONDRUT,
RS3,NO,44.40592,26.070095,Aleea PRICOPAN,4 (bloc 12),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.40564,26.0718951,Aleea PRICOPAN,6 (bloc 16),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.405384,26.072003,Aleea PRICOPAN,6A (bloc 18),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.406093,26.070371,Aleea PRICOPAN,8 (bloc 19),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Mircea CONDRUT,
N/A,NO,44.381092,26.123294,Aleea RAUL SADULUI,6 (bloc 7),S+P+9E,Sector 4,București,1964,,,,1993,Traian POPP,
N/A,NO,44.390926,26.11732,Aleea SECUILOR,2 (bloc 31),S+P+8E,Sector 4,București,1965,107,6557,6557,1993,Nicolae CONSTANTINESCU,
RS3,NO,44.452064,26.14716,Aleea SILISTEA,1,S+P+4E,Sector 2,București,1968,,,,1994,Mircea NEICU,
RS2,NO,44.452567,26.146421,Aleea SILISTEA,4 (bloc 7),S+P+4E,Sector 2,București,1968,,,,1993,Adina SIMION,
N/A,NO,44.463408,26.13616,Aleea SINAIA,18,S+P+10E,Sector 2,București,1973,,,,1993,Adina SIMION,
RS2,NO,44.4633029,26.1349692,Aleea SINAIA,10 (bloc 74),S+P+10E,Sector 2,București,1976,44,,,1993,Nicolae CONSTANTINESCU,
RS2,NO,44.46297,26.134471,Aleea SINAIA,5,S+P+8E,Sector 2,București,1974,,,,1993,Dragoş BADEA,
RS2,NO,44.463044,26.134928,Aleea SINAIA,8,S+P+8E,Sector 2,București,1974,,,,1993,Gabriel NICULESCU,
RS3,NO,44.4183531,26.0927741,Aleea SUTER,17,S+P+1E+Ma,Sector 4,București,1925,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4184049,26.0929607,Aleea SUTER,18,S+P+1E,Sector 4,București,1915,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4184589,26.0928095,Aleea SUTER,19,S+P+1E,Sector 4,București,1925,,,,1993,Eugeniu IORDACHESCU,
RS2,NO,44.4190475,26.0931295,Aleea SUTER,2 (corp A+B),S+P+1E+Ma;S+P,Sector 4,București,1910,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4186367,26.0930218,Aleea SUTER,22,S+P+1E,Sector 4,București,1915,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4176095,26.0924766,Aleea SUTER,3,P+1+M,Sector 4,București,1920,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4178246,26.0927192,Aleea SUTER,8,S+P+1E,Sector 4,București,1910,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4179277,26.0926049,Aleea SUTER,9,S+P+1E,Sector 4,București,1920,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.439733,26.179252,Aleea VERGULUI,1 (bloc 20),S+P+10E,Sector 2,București,1964,,,,1993,Stefan MIHAILESCU,
RS3,NO,44.440155,26.179523,Aleea VERGULUI,3 (bloc 21),S+P+10E,Sector 2,București,1974,,,,1993,Stefan MIHAILESCU,
RS2,NO,44.440035,26.181291,Aleea VERGULUI,4 (bloc 15),S+P+10E,Sector 2,București,1975,,,,1993,Stefan MIHAILESCU,
RS3,NO,44.440011,26.180018,Aleea VERGULUI,5 (bloc 19),S+P+10E,Sector 2,București,1973,,,,1993,Gheorghe AFANASENCO,
RS3,NO,44.439993,26.180551,Aleea VERGULUI,7 (bloc 18),S+P+10E,Sector 2,București,1973,,,,1993,Gheorghe AFANASENCO,
U2,NO,44.463797,26.074674,Bulevardul ALEXANDRU AVERESCU,26÷28,S+P+3E,Sector 1,București,1937,13,1293,1293,1996,Eugeniu IORDACHESCU,
U2,NO,44.449105,26.081836,Bulevardul ALEXANDRU IOAN CUZA,10,S+P+7E,Sector 1,București,1936,62,349,349,1998,Nicolae CONSTANTINESCU,
RS2,NO,44.451921,26.072289,Bulevardul ALEXANDRU IOAN CUZA,105,S+P+3E,Sector 1,București,1925,,620,620,1995,Horia DUGAN,
RS3,NO,44.449432,26.08036,Bulevardul ALEXANDRU IOAN CUZA,19,S+P+1E,Sector 1,București,1940,,170,170,1993,Ecaterina BALL,
RS3,NO,44.449884,26.078601,Bulevardul ALEXANDRU IOAN CUZA,49,S+P+4E,Sector 1,București,1932,7,158,158,1993,Grigore ARSENIE,
RS3,NO,44.449432,26.08036,Bulevardul ALEXANDRU IOAN CUZA,57,S+P+1E,Sector 1,București,1920,2,254,254,1993,Grigore ARSENIE,
RS3,NO,44.450314,26.077453,Bulevardul ALEXANDRU IOAN CUZA,59,S+P+1E+Ma,Sector 1,București,1940,,424,424,1993,Grigore ARSENIE,
U2,NO,44.451114,26.075044,Bulevardul ALEXANDRU IOAN CUZA,80,S+P+3E,Sector 1,București,1946,8,850,850,1995,Vladimir AMBROZIE,
RS2,NO,44.451339,26.074247,Bulevardul ALEXANDRU IOAN CUZA,89,S+P+2E,Sector 1,București,1945,,738,738,1996,Nicolae CONSTANTINESCU,
U1,NO,44.448949,26.081725,Bulevardul ALEXANDRU IOAN CUZA,9,S+P+2E+Ma,Sector 1,București,1929,6,915,915,1993,Eugeniu IORDACHESCU,
U2,NO,44.451567,26.073522,Bulevardul ALEXANDRU IOAN CUZA,97,S+P+1E,Sector 1,București,1940,2,198,198,1993,Grigore ARSENIE,
RS2,NO,44.449432,26.08036,Bulevardul ALEXANDRU IOAN CUZA,99,S+P+1E+Ma,Sector 1,București,1935,4,1223,1223,1993,Ecaterina BALL,
U3,NO,44.3884128,26.1181312,Bulevardul ALEXANDRU OBREGIA,2 (corp A),S+P+15E,Sector 4,București,1979,84,10833,10833,2016,Dan CAPATINA,Încadrare în clasă de risc seismic în anul 2016
RS3,NO,44.3883313,26.1179443,Bulevardul ALEXANDRU OBREGIA,2 (corp B),S+P+10E,Sector 4,București,1976,,7164,7164,1995,Armand NEFIAN,
RS3,NO,44.381452,26.115797,Bulevardul ALEXANDRU OBREGIA,27 (bloc A18),S+P+10E,Sector 4,București,1965,44,354,354,1995,Dan STANCIULESCU,
U2,NO,44.3805,26.115932,Bulevardul ALEXANDRU OBREGIA,30 (bloc R4),S+P+10E,Sector 4,București,1969,89,6886,6886,2000,Zefir APOSTOL,
U2,NO,44.380044,26.116015,Bulevardul ALEXANDRU OBREGIA,32 (bloc R5),S+P+10E,Sector 4,București,1969,88,6886,6886,2000,Gabriel NICULESCU,
N/A,NO,44.3805554,26.1175442,Bulevardul ALEXANDRU OBREGIA,33 (bloc O3),S+P+9E,Sector 4,București,1965,,,,1996,Corneliu MUDRACENCO,
U2,NO,44.379583,26.116085,Bulevardul ALEXANDRU OBREGIA,34 (bloc R6),S+P+10E,Sector 4,București,1969,88,6886,6886,2000,Zefir APOSTOL,
RS3,NO,44.387583,26.116849,Bulevardul ALEXANDRU OBREGIA,4 (bloc OD1),S+P+10E,Sector 4,București,1971,220,20582,20582,1996,Armand NEFIAN,
U2,NO,44.37874,26.117238,Bulevardul ALEXANDRU OBREGIA,40 (bloc R8),S+P+10E,Sector 4,București,1969,88,6886,6886,2000,Zefir APOSTOL,
RS2,NO,44.387414,26.118174,Bulevardul ALEXANDRU OBREGIA,5÷7 (bloc R14),S+P+9E,Sector 4,București,1966,,5157,5157,1993,Gabriel NICULESCU,
RS2,NO,44.458284,26.086525,Bulevardul AVIATORILOR,18,S+P+3E,Sector 1,București,1935,,895,895,1994,Mircea NEICU,
RS2,NO,44.460168,26.085626,Bulevardul AVIATORILOR,5,S+P+2E,Sector 1,București,1934,11,162,162,1993,Gabriel NICULESCU,
C,YES_PUBLIC,44.4646674,26.0857799,Bulevardul AVIATORILOR,65 (corp A),S+P+2E+Ma,Sector 1,București,1933,4,149,149,1997,Radu AGENT,AC nr.635/1095408/2012 PVRTL nr.1227603/2014
U3,NO,44.4646674,26.0857799,Bulevardul AVIATORILOR,65 (corp B),S+P+1E,Sector 1,București,1933,1,98,98,1997,Radu AGENT,
U3,NO,44.452611,26.074346,Bulevardul BANU MANTA,7,S+P+2E,Sector 1,București,1931,20,111,111,1996,Vladimir AMBROZIE,
RS2,NO,44.455633,26.078871,Bulevardul BANUL MANTA,24,S+P+3E+Ma,Sector 1,București,1939,11,1628,1628,1993,Mihai HOTINCEANU,
N/A,NO,44.455123,26.076958,Bulevardul BANUL MANTA,28,S+P+2E,Sector 1,București,1920,4,435,435,1993,Nicolae ROSCA,
N/A,NO,44.455839,26.079552,Bulevardul BANUL MANTA,30 (corp A),S+P+2E+Ma,Sector 1,București,1910,5,580,580,1993,Nicolae ROSCA,
N/A,NO,44.4542534,26.0758409,Bulevardul BANUL MANTA,30 (corp B),S+P+2E,Sector 1,București,1936,5,360,360,1993,Nicolae ROSCA,
U2,NO,44.431883,26.142805,Bulevardul BASARABIA,28 (bloc 31),S+P+11E ÷ 12E,Sector 2,București,1963,100,7308,7308,2010,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2010
RS3,NO,44.432579,26.144034,Bulevardul BASARABIA,42 (bloc 32),S+P+11…12E,Sector 2,București,1962,,7308,7308,1993,Dan POPESCU,
RS3,NO,44.43229,26.140768,Bulevardul BASARABIA,5,S+P+2E,Sector 2,București,1927,,380,380,1993,Niculaie TUDOSE,
RS3,NO,44.432046,26.14466,Bulevardul BASARABIA,52 (bloc 33),S+P+11…12E,Sector 2,București,1962,,7308,7308,1993,Dan POPESCU,
RS3,NO,44.432744,26.1460139,Bulevardul BASARABIA,62 (bloc 34),S+P+11…12E,Sector 2,București,1962,,8125,8125,1993,Dan POPESCU,
RS3,NO,44.4325228,26.1458622,Bulevardul BASARABIA,62A,S+P+2E,Sector 2,București,1945,240,1944,1944,1993,Niculaie TUDOSE,
RS3,NO,44.432232,26.146743,Bulevardul BASARABIA,68 (bloc 35),S+P+11…12E,Sector 2,București,1962,,8229,8229,1995,Dan POPESCU,
RS3,NO,44.432319,26.147729,Bulevardul BASARABIA,78 (bloc 36),S+P+12E,Sector 2,București,1962,102,7969,7969,1993,Aurel COMANESCU,
RS3,NO,44.43236,26.141226,Bulevardul BASARABIA,8,S+P+2E,Sector 2,București,1932,,532,532,1993,Dan POPESCU,
RS2,NO,44.4368605,26.1096884,Bulevardul CAROL I (colț cu Calea MOȘILOR),54 (113),S+P+8E,Sector 2,București,1920,,,,1993,Mircea NEICU,
RS2,NO,44.43582,26.104108,Bulevardul CAROL I,10,S+P+2E,Sector 3,București,1896,,,,1993,Corneliu MUDRACENCU,
U2,NO,44.43597409,26.1056554,Bulevardul CAROL I,12,S+Mz+P+6E,Sector 2,București,1924,,988,988,2018,Cătălin ȘTEFAN,
C,YES_PUBLIC,44.4359998,26.1044367,Bulevardul CAROL I,17,S+P+3E,Sector 2,București,,,4649,4649,,,AC nr.977/112C/2004; PVRTL nr.3632/142078/2006
N/A,NO,44.436204,26.10574,Bulevardul CAROL I,23 (corp A+B),S+P+10E,Sector 3,București,1980,,,,1994,Emilian TITARU,
RS2,NO,44.436492,26.107324,Bulevardul CAROL I,25,S+P+2E,Sector 2,București,1910,,,,1993,Ion VARSA,
U1,NO,44.436597,26.107895,Bulevardul CAROL I,27,S+P+2E+Ma,Sector 2,București,1910,3,755,755,1993,Ion LUNGU,
U2,NO,44.436004,26.105052,Bulevardul CAROL I,28,S+P+4E,Sector 2,București,1932,10,,,2017,Traian POPP,Încadrare în clasă de risc seismic în anul 2017
RS3,NO,44.436822,26.109113,Bulevardul CAROL I,35,S+P+8E,Sector 2,București,1961,,,,1993,Niculaie TUDOSE,
RS2,NO,44.436864,26.109338,Bulevardul CAROL I,37,S+P+4E+Ma,Sector 2,București,1929,,,,1993,Mircea PERJESCU,
U1,NO,44.43665,26.108694,Bulevardul CAROL I,40÷42 (sc. A+B+C+D),S+P+2E+Ma,Sector 2,București,1890,,693,693,2015,Octavian MĂNOIU,Sentința civilă nr.1677/2017 (Judecătoria Sectorului 2); Decizia definitivă nr.2947A/2017 (Tribunalul BucureȘti - Secția a V-a Civilă)
U1,NO,44.437249,26.111484,Bulevardul CAROL I,47,P+8E,Sector 2,București,1934,23,2784,2784,1993,Niculae TUDOSE,
U2,NO,44.43705205,26.11136787,Bulevardul CAROL I,48,S+P+1E,Sector 2,București,1900,5,618,618,1993,Radu PETROVICI,
RS3,NO,44.436946,26.110339,Bulevardul CAROL I,50,S+P+5E+Ma,Sector 2,București,1937,,2166,2166,1993,Niculaie TUDOSE,
U1,NO,44.43731,26.111804,Bulevardul CAROL I,51,S+Ds+P+7E,Sector 2,București,1929,30,5105,5105,2001,Grigore ARSENIE,
RS3,NO,44.437805,26.112982,Bulevardul CAROL I,57,S+P+5E+Ma,Sector 2,București,1932,,2662,2662,1993,Niculaie TUDOSE,
RS2,NO,44.4373217,26.1127671,Bulevardul CAROL I,58,S+P+4E,Sector 2,București,1940,18,226,226,1992,Ion VARSA,
RS1,NO,44.437571,26.113182,Bulevardul CAROL I,59,S+P+2E+Ma,Sector 2,București,1912,,2592,2592,1993,Dan POPESCU,
RS3,NO,44.435818,26.104097,Bulevardul CAROL I,6,S+P+2E+Ma,Sector 3,București,1896,,960,960,1993,Corneliu MUDRACENCU,
U1,NO,44.437713,26.113866,Bulevardul CAROL I,63,S+P+5E+Ma,Sector 2,București,1937,18,1769,1769,1993,Niculae TUDOSE,
RS3,NO,44.437354,26.112526,Bulevardul CAROL I,66,S+P+3E,Sector 2,București,1918,,60,60,1994,Emil COROIU,
RS2,NO,44.437613,26.114935,Bulevardul CAROL I,68÷70,S+P+4E,Sector 2,București,1910,,,,1993,Ion VARSA,
U1,NO,44.43776,26.114536,Bulevardul CAROL I,76,P+8E,Sector 2,București,1939,18,323,323,1994,Dan POPESCU,
RS1,NO,44.435819,26.104102,Bulevardul CAROL I,8,S+P+2ES+P+5E,Sector 3,București,1900,,,,1993,Niculaie TUDOSE,
RS3,NO,44.457904,26.041213,Bulevardul CONSTRUCTORILOR,11,S+P+4E,Sector 6,București,1961,,2965,2965,1996,Mircea NEICU,
RS3,NO,44.457813,26.04132,Bulevardul CONSTRUCTORILOR,15,S+P+4E,Sector 6,București,1961,,4475,4475,1996,Dan GHIOCEL,
RS3,NO,44.458127,26.041003,Bulevardul CONSTRUCTORILOR,3 (bloc C13),S+P+4E,Sector 6,București,1961,,2965,2965,1993,Viorel CONSTANTINESCU,
U2,NO,44.42951534,26.10514036,Bulevardul CORNELIU COPOSU,1 (corp A),S+P+6E,Sector 3,București,1928,20,2401,2401,2014,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2014
RS2,NO,44.4292244,26.1043481,Bulevardul CORNELIU COPOSU,1 (corp B),S+P+6E,Sector 3,București,1928,,,,1994,Dan POPESCU,
U2,NO,44.42962434,26.10541354,Bulevardul CORNELIU COPOSU,1 (corp C),S+P+6E,Sector 3,București,1928,20,2401,2401,2014,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2014
U2,NO,44.44645928,26.09802863,Bulevardul DACIA (colț cu Strada MIHAI EMINESCU),28 (8),S+P+6E,Sector 1,București,1921,,,,1998,Rodica VASILESCU,
U1,NO,44.446969,26.09773,Bulevardul DACIA (colț cu Strada STANISLAV CIHOVSCHI),37 (1),S-P-2E-Ma,Sector 1,București,1930,,1896,1896,2013,Niculae TEODOR,Încadrare în clasă de risc seismic în anul 2013
RS2,NO,44.44612,26.108334,Bulevardul DACIA,101 (fost 47),S+P+2E+Ma,Sector 2,București,1928,7,921,921,1993,Stelian PICULESCU,
U1,NO,44.445519,26.110972,Bulevardul DACIA,102,S+P+4E+Ma,Sector 2,București,1936,26,2261,2261,1993,Constantin ARIENESCU,
RS3,NO,44.44610976,26.1086611,Bulevardul DACIA,103 (fost 75A),S+P+3E,Sector 2,București,1934,,,,1993,Dan POPESCU,
RS2,NO,44.44608162,26.10880987,Bulevardul DACIA,103 (nr. vechi),S+P+4E,Sector 2,București,1935,,,,1993,Alexandru PROGRESEANU,
RS3,NO,44.445457,26.111324,Bulevardul DACIA,104 (fost 74),S+P+3E+Ma,Sector 2,București,1933,,,,1995,Radu AGENT,
U2,NO,44.445895,26.109612,Bulevardul DACIA,109,S+P+2E+Ma,Sector 2,București,1929,7,483,483,1997,Alexandru HRISTOFOROV,
RS3,NO,44.445961,26.10874,Bulevardul DACIA,114 (fost 84),S+P+4E+Ma,Sector 2,București,1936,,,,1993,Dan DUMITRESCU,
RS3,NO,44.444943,26.114353,Bulevardul DACIA,116 (fost 86),S+P+3E+Ma,Sector 2,București,1934,,,,1993,Dan DUMITRESCU,
N/A,NO,44.446536,26.103596,Bulevardul DACIA,125 (fost 71),S+P+2E+Ma,Sector 2,București,1931,,,,1993,Dan DUMITRESCU,
RS2,NO,44.44612,26.108334,Bulevardul DACIA,131 (fost 101),S+P+2E+Ma,Sector 2,București,1928,,,,1993,Theodor MARIN,
RS2,NO,44.445203,26.113368,Bulevardul DACIA,149 (fost 119),S+P+2E; S+P+1E,Sector 2,București,1920,,,,1993,Alexandru PROGRESEANU,
RS1,NO,44.445027,26.114397,Bulevardul DACIA,153 (fost 123),S+P,Sector 2,București,1888,,,,1993,Constantin DALBAN,
RS1,NO,44.4442099,26.1175955,Bulevardul DACIA,"159 (fost 129, corp A+B)",S+P; S+P+2E,Sector 2,București,1930,,,,1993,Alexandru PROGRESEANU,
RS1,NO,44.4512038,26.13389,Bulevardul DACIA,"160 (fost 130, corp A+B)",S+P; S+P,Sector 2,București,1924,,,,1993,Constantin DALBAN,
RS2,NO,44.444094,26.117418,Bulevardul DACIA,168 (fost 138),S+P+3E+Ma,Sector 2,București,1930,13,179,179,1993,Constantin ARIENESCU,
U2,NO,44.44458,26.11566,Bulevardul DACIA,171 (fost 141),S+P+3E+Ma,Sector 2,București,1934,6,741,741,1993,Adina SIMION,
RS3,NO,44.443938,26.11812,Bulevardul DACIA,172 (fost 142),S+P+1E;S+P+2E,Sector 2,București,1924,,,,1993,Adina SIMION,
U2,NO,44.444522,26.11583,Bulevardul DACIA,173 (fost 143),S+P+2E+Ma,Sector 2,București,1933,11,880,880,1993,Adina SIMION,
U3,NO,44.4438169,26.1185359,Bulevardul DACIA,178 (fost 148),S+P+2E+Ma,Sector 2,București,1914,8,585,585,1993,Adina SIMION,
RS2,NO,44.446876,26.099513,Bulevardul DACIA,32 (fost 2),S+P+3E+Ma,Sector 1,București,1912,,6394,6394,1996,Mihai URSACHESCU,
U2,NO,44.446938,26.09619,Bulevardul DACIA,33,S+P+4E+Ma,Sector 1,București,1929,14,875,875,1995,Adina SIMION,
RS2,NO,44.446969,26.09773,Bulevardul DACIA,37 (fost 11),S+P+4E,Sector 1,București,1920,,987,987,1994,Mircea NEICU,
U1,NO,44.446912,26.099552,Bulevardul DACIA,43 (fost 1),S+P+5E+Ma,Sector 1,București,1930,6,1344,1344,1997,Valentin GEORGESCU,
RS2,NO,44.446906,26.099823,Bulevardul DACIA,45 (fost 1A),S+P+7E,Sector 1,București,1940,,2996,2996,1993,Armand NEFIAN,
U2,NO,44.446872,26.100109,Bulevardul DACIA,47,S+P+6E,Sector 1,București,1936,,129,129,2000,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2000
U2,NO,44.446842,26.100392,Bulevardul DACIA,49 (fost 5),S+P+5E,Sector 1,București,1948,24,1338,1338,1997,Ion GANESCU,
U3,NO,44.4468295,26.10096,Bulevardul DACIA,51 (fost 7),Ds+P+6E,Sector 1,București,1932,21,1378,1378,1997,Marin TEODOR,
U1,NO,44.44597,26.092208,Bulevardul DACIA,53 (fost 9),S+P+8E,Sector 1,București,1938,17,1435,1435,1997,Helmuth KOBER,
RS2,NO,44.446642,26.101424,Bulevardul DACIA,64 (fost 38),S+P+2E,Sector 1,București,1929,,628,628,1993,Eugeniu IORDACHESCU,
N/A,NO,44.446189,26.107158,Bulevardul DACIA,72,S+P+2E+Ma,Sector 2,București,1935,,,,1993,Dan DUMITRESCU,
RS2,NO,44.446032,26.108306,Bulevardul DACIA,80 (fost 52A),S+P+7E+Ma,Sector 2,București,1947,,,,1993,Mircea NEICU,
C,YES_PUBLIC,44.4464058,26.1063494,Bulevardul DACIA,85,S+P+5E,Sector 2,București,1935,11,1945,1945,2001,Adina SIMION,AC nr.530/2011 PVRTL nr.2178/2016
U2,NO,44.44575797,26.1091899,Bulevardul DACIA,88 (corp A),S+P+11E,Sector 2,București,1969,36,4224,4224,2000,Horia DUGAN,
U3,NO,44.4458093,26.1091728,Bulevardul DACIA,88 (corp B),S+P+6E,Sector 2,București,1969,36,4224,4224,2000,Horia DUGAN,
N/A,NO,44.445622,26.110397,Bulevardul DACIA,98 (fost 68),S+P+3E+Ma,Sector 2,București,1936,,,,1993,Dan DUMITRESCU,
U2,NO,44.420458,26.104517,Bulevardul DIMITRIE CANTEMIR,13A,S+P+3E+Ma,Sector 4,București,1932,11,900,900,1997,Armand NEFIAN,
U2,NO,44.4206644,26.1051244,Bulevardul DIMITRIE CANTEMIR,15 (bloc 9),S+P+8…9E,Sector 4,București,1964,226,1638,1638,2014,Dragoş BADEA,Încadrare în clasă de risc seismic în anul 2014
U2,NO,44.420095,26.10432,Bulevardul DIMITRIE CANTEMIR,15A,S+P+3E,Sector 4,București,1934,5,648,648,1995,Adina SIMION,
N/A,NO,44.416465,26.104743,Bulevardul DIMITRIE CANTEMIR,25 (bloc 2),S+P+7E,Sector 4,București,1961,,,,1996,Dan CAPATINA,
RS3,NO,44.424179,26.104913,Bulevardul DIMITRIE CANTEMIR,3 (bloc 4),S+P+10E,Sector 4,București,1962,,6765,6765,1996,Valentin GEORGESCU,
RS3,NO,44.424154,26.104931,Bulevardul DIMITRIE CANTEMIR,4 (bloc 3C),S+P+8E,Sector 4,București,1963,,4887,4887,1996,Alexandru BRANZEI,
RS3,NO,44.423607,26.104905,Bulevardul DIMITRIE CANTEMIR,5 (bloc 6),S+P+10E,Sector 4,București,1962,,6765,6765,1996,Valentin GEORGESCU,
N/A,NO,44.422719,26.103658,Bulevardul DIMITRIE CANTEMIR,8,S+P+8E,Sector 4,București,1963,,,,1995,Armand NEFIAN,
RS3,NO,44.422487,26.1049,Bulevardul DIMITRIE CANTEMIR,9 (bloc 7),S+P+10E,Sector 4,București,1962,,6765,6765,1996,Valentin GEORGESCU,
RS2,NO,44.441037,26.080601,Bulevardul DINICU GOLESCU,1A,S+Ds+P+3E,Sector 1,București,1930,,752,752,1993,Dan POPESCU,
U2,NO,44.444175,26.075776,Bulevardul DINICU GOLESCU,"23÷25 (bloc B, corp A+B)",S+P+9E; S+P+11E,Sector 1,București,1960,352,2441,2441,2001,Cristian BALAN,
U2,NO,44.441966,26.079602,Bulevardul DINICU GOLESCU,7,S+P+5E,Sector 1,București,1933,18,1181,1181,1997,Radu DIAMANDOPOL,
RS2,NO,44.44227,26.079161,Bulevardul DINICU GOLESCU,9 (corp A+B),S+P+2E; S+P+Mz+3E,Sector 1,București,1920,,660,660,1993,Mircea PERJESCU,
